Ημέρα,Νέα κρούσματα,Νέοι θάνατοι,Νέοι αναρρώσαντες,Νοσηλευόμενοι στη Μ.Ε.Θ.,Έλεγχοι δειγμάτων,Ενεργά κρούσματα
26 Φεβρουαρίου 2020,1,0,0,0,,1
27 Φεβρουαρίου 2020,2,0,0,0,,3
28 Φεβρουαρίου 2020,1,0,0,0,,4
29 Φεβρουαρίου 2020,3,0,0,0,,7
1 Μαρτίου 2020,0,0,0,0,,7
2 Μαρτίου 2020,0,0,0,0,,7
3 Μαρτίου 2020,0,0,0,0,270,7
4 Μαρτίου 2020,2,0,0,1,,9
5 Μαρτίου 2020,22,0,0,1,,31
6 Μαρτίου 2020,14,0,0,2,,45
7 Μαρτίου 2020,21,0,0,2,,66
8 Μαρτίου 2020,7,0,0,2,,73
9 Μαρτίου 2020,11,0,0,3,,84
10 Μαρτίου 2020,5,0,0,4,,89
11 Μαρτίου 2020,10,0,0,6,,99
12 Μαρτίου 2020,18,1,2,6,2180,114
13 Μαρτίου 2020,73,0,0,9,2700,187
14 Μαρτίου 2020,38,2,6,9,3400,217
15 Μαρτίου 2020,103,1,2,11,,317
16 Μαρτίου 2020,21,0,0,16,4320,338
17 Μαρτίου 2020,35,1,4,18,4900,368
18 Μαρτίου 2020,31,0,0,24,6000,399
19 Μαρτίου 2020,46,1,5,29,6300,439
20 Μαρτίου 2020,31,3,0,33,7172,467
21 Μαρτίου 2020,35,4,0,36,7830,498
22 Μαρτίου 2020,94,2,0,45,8006,590
23 Μαρτίου 2020,71,2,10,49,8644,649
24 Μαρτίου 2020,48,3,3,54,9071,691
25 Μαρτίου 2020,78,2,4,59,10495,763
26 Μαρτίου 2020,71,4,6,61,,824
27 Μαρτίου 2020,74,2,10,70,13477,886
28 Μαρτίου 2020,95,4,0,71,14363,977
29 Μαρτίου 2020,95,6,1,69,15151,1065
30 Μαρτίου 2020,56,5,1,72,15961,1115
31 Μαρτίου 2020,102,6,1,85,16732,1210
1 Απριλίου 2020,101,1,0,90,17350,1310
2 Απριλίου 2020,129,3,1,91,18844,1435
3 Απριλίου 2020,69,6,0,92,22437,1498
4 Απριλίου 2020,60,9,78,92,23333,1527
5 Απριλίου 2020,62,5,78,93,25453,1584
6 Απριλίου 2020,20,6,269,90,26193,1407
7 Απριλίου 2020,77,2,269,90,28584,1482
8 Απριλίου 2020,52,2,269,84,32528,1532
9 Απριλίου 2020,71,3,269,79,33634,1600
10 Απριλίου 2020,56,4,269,77,35432,1652
11 Απριλίου 2020,70,3,269,75,37344,1719
12 Απριλίου 2020,33,5,269,76,42261,1747
Σύνολο,2114,98,269,76,42261,1747

